tags,count
thunderbird,1021
email-and-messaging,124
connectivity,32
app-crash,21
events,19
security,6
reset-passwords,23
import-and-export-email,56
undefined,7
passwords-and-sign-in,41
send-and-receive-email,221
contacts,35
customization,116
update,11
import-and-export-settings,11
account-management,54
installation-and-updates,21
calendar,13
accounts,9
firefox-1150,1
windows-7,1
encryption,11
needsinfo,33
profiles,18
performance-and-connectivity,5
crashing-and-slow-performance,15
attachments,26
search,12
junk-mail-and-spam,33
settings,8
instant-messaging,2
extensions,5
install,25
languages,9
save-passwords,5
firefox-14502,6
firefox-1450,6
windows-10,12
windows-11,15
privacy-and-security_1,1
macos,1
accessibility,17
autofill,2
tags,6
firefox-1460,9
linux,1
android,1
search-tag-and-share,2
firefox-14601,2
mac-os-x-1015,1
unsupported-locale,1
german-locale,1
