date_created_utc,creator,creator_url,version,os,question_id,question_url,question_title,question_content
2026-03-20 23:16,electraguard1,https://support.mozilla.org/en-US/user/electraguard1/,,Windows 11,1571896,https://support.mozilla.org/questions/1571896,can't get rid of the new message box,The new message box won't go away after I used it last and it is blocking the Inbox box. 
2026-03-21 05:32,jmsanders,https://support.mozilla.org/en-US/user/jmsanders/,144.0.1,Windows 11,1571936,https://support.mozilla.org/questions/1571936,Double calendar alerts can't get discarded,"Hi, I am getting double calendar alerts. Besides that, the alerts don't disapear when I click the discard button. The only thing that works is closing the alert window but after some time the same alert for the same event goes off again.  Perhaps the double alerts are somehow connected with two accounts? I reinstalled Thunderbird and had the account set before the reinstallation.  This seems to go inhand with double sending emails. When I send an email the receiver gets twice the same email. Also in the sent folder of email service provider are two copies of the email.  So this seems to be two problems: 1. double account sending emails and running alerts. 2. bug with the calendar alert window, that doesn't do anything when you click ""discard"" or ""nooze off"". "
2026-03-22 02:50,fozon,https://support.mozilla.org/en-US/user/fozon/,148.0.1 (64-bit),Windows 11,1572060,https://support.mozilla.org/questions/1572060,No consigo enviar un mail mediante la cuenta de yandex.com,"He configurado la cuenta de correo de yandex.com y pruebo la conexión con el servidor imap de entrada y da correcta la verificación, pero al intentar enviar un correo a través de su servidor de salida, me intenta conectar con la web de yandex dándome error de identificación. He aceptado las cookies, he puesto las contraseñas, tanto de acceso a yandex, como la específica que había creado para la aplicación thunderbird (porque en yandex es como en google, que ha y que crear passwords específicas para aplicaciones) y no consigo que me funcione el correo de salida de mi cuenta de Yandex.com. ¿A alguien más le pasa? Porque para entrar en yandex.com desde el navegador Brave , entro perfectamente con mi usuario y contraseña pero desde el navegador web de thunderbird no hay forma de entrar. "
2026-03-23 23:09,knewbizz,https://support.mozilla.org/en-US/user/knewbizz/,,Windows 10/11,1572307,https://support.mozilla.org/questions/1572307,The server is already in use.  Connection not closing?,"I have been trying to add new email accounts to Thunderbird and they never complete the process (I have several that configured correctly prior to this error). I have tried both automated methods (With and without HUB) and the manual method of adding an account.  Here is what is happening.  When I add an account, I can watch Thunderbird login to the account on the status line.  The login goes correctly, however the ""Done"" tab is always greyed out, the process never completes.  I then try configure the account manually at the same screen and I get ""the server is already in use"" message.  I believe that Thunderbird is not correctly closing the connection, leading to the ""server is already in use"" message, but I am not sure how to correct the issue. "
2026-03-24 00:39,jjgsuporte,https://support.mozilla.org/en-US/user/jjgsuporte/,140.8.1esr,Windows 10,1572322,https://support.mozilla.org/questions/1572322,"Preciso de ajuda, minhas uso duas contas dentro do meu gerenciador em uma delas o e-mails abrem em edição, na outra abrem normalmente...","Prezados, Estou enfrentando um comportamento incomum no Mozilla Thunderbird e gostaria de auxílio. Possuo duas contas configuradas no cliente de e-mail e, em uma delas, ocorre o seguinte problema: Ao acessar a caixa de entrada e dar duplo clique em uma mensagem, o e-mail é aberto diretamente em modo de edição, como se fosse um rascunho. No entanto, trata-se de um e-mail recebido normalmente na caixa de entrada. Realizei testes também com mensagens da pasta “Enviados” e o comportamento se repete, ou seja, os e-mails também abrem em modo de edição. Isso dá a entender que o Thunderbird está interpretando essas mensagens como rascunhos, mesmo não sendo o caso. Alguém já passou por essa situação ou saberia como corrigir esse comportamento? Fico no aguardo de orientações. Atenciosamente, Tainan Werner "
2026-03-24 03:10,mrzn1973,https://support.mozilla.org/en-US/user/mrzn1973/,148.0.1 (64-bit),Windows 11,1572346,https://support.mozilla.org/questions/1572346,Have 3 email accounts. One sometimes fails to show any folders,"Hi, I have three outlook.com email accounts configured. Two accounts open to show all subscribed folders. One account shows the account name only, but no folders.  Activity manager shows: ""The current operation on 'Outbox' did not succeed. The mail server for account wasaga72@outlook.com responded: Command Error. 12"" Sometimes all folders show. Sometimes all folders show after a delay.  Tried: 1   deleting all .msf files. 2   removing and re-adding the account My wife and I both have identical Laptops with the same three outlook.com accounts. Mine using version 148.0.1 (64-bit), hers using 140.8.0 esr (64-bit) both have the same problem. Any help would be appreciated, John "
2026-03-24 04:18,michaelgoodliff292,https://support.mozilla.org/en-US/user/michaelgoodliff292/,,Windows 10,1572356,https://support.mozilla.org/questions/1572356,Recover lost files in a folder,files have vanished from a folder. How can I recover them? 
2026-03-24 11:00,MozzieBob,https://support.mozilla.org/en-US/user/MozzieBob/,142,Windows 11,1572383,https://support.mozilla.org/questions/1572383,Can see all message filters / top or bottom of message filter window in V 142?,"I have a lot of message filters that I've created over the years to filter out SPAM (as well as other more positive purposes like sorting mail to specific folders). I'd like to clean out the ones that are obsolete. If I choose Tools > Message Filters, I get a display window on the screen with some  of my message filters shown. But the reason it's ""some"" is that the top and bottom of the window are well off the screen display. I can double click on a Filter and edit its details and I can delete a filter by pressing the delete key. But I can't scroll through the list. Any filters that are out of range are not accessible.  Is this a bug I need to report? Or am I missing something? "
2026-03-24 18:11,TinkerSax,https://support.mozilla.org/en-US/user/TinkerSax/,,Windows 11,1572428,https://support.mozilla.org/questions/1572428,I had to reinstall Thunderbird and now cannot get into my email that was thru Brighthouse which is now Spectrum.,"My email was originally set up with Brighthouse which was acquired by Spectrum.  My email address has a cfl.rr.com extension.  Because of a hard disk problem, I had to reload Thunderbird.  Spectrum is still maintaining the old Brighthouse accounts but support is extremely limited. I can now get into my account in Spectrum's email and can send and receive email there.  I had to use a password I set up for Spectrum to do that.  But Thunderbird will not recognize my cfl.rr.com account.  I can import that account into Outlook and Gmail, but not Thunderbird. It appears to me that Thunderbird is looking for a password that Outlook and Gmail don't require.  If I had an old Thunderbird or cfl.rr.com  password I have lost it. I prefer Thunderbird, and I need to get my address book and history files back.  I have just set up a new email account in Gmail and imported it into Thunderbird.  Is there a way I can I recover my old address book and history files? I do have all the old Thunderbird files that I backed up before I had to reload Thunderbird. "
2026-03-24 19:26,nclough500,https://support.mozilla.org/en-US/user/nclough500/,,Mac OS x 10_15_7,1572436,https://support.mozilla.org/questions/1572436,Thunderbird printed headers and footers only half appear at edges of A4 (210x297mm) page,"Hello and thank you!  When I print emails on our A4 (210x297mm) paper, to which the printer dialog is set, only the bottom half of the header, and top half of the footer, are printed, at the very edges of the paper. This doesn't 'feel' like a printer setting, but more of a Thunderbird setting, for if I set the paper size to US Letter, the footer prints 15mm from the bottom, but still only the top half of the text appears (truncated at the waist).  Can you help? "
2026-03-24 21:04,flpchagas,https://support.mozilla.org/en-US/user/flpchagas/,140.8.1esr,Linux,1572452,https://support.mozilla.org/questions/1572452,não está carregando meus emails,"Meus emails não estão carregando, o ultimo que carregou foi ontem a noite. Ao abrir o programa, lá embaixo fica com as mensagens: ""localizando outlook.office365.com"" e ""conectando a outlook.office365.com"", e nada acontece. Uso linux mint 22.2, e o é kernel 6.17.0-19-generic "
